Job,Job Hash,Organization,Total,New Candidates,CV sent out,1st Stage,2nd Stage,3rd Stage,4th Stage,Final Stage,Offered,Offer Accepted,Hired
DevOps Engineer (W2),LR49Y37X,Betsson - Malta Project,7,7,0,0,0,0,0,0,0,0,0
DevOps Engineer,LR4RX9W6,Flywheel Dynamix,9,1,7,0,0,0,0,0,0,0,1
HR Manager - Peru,LR4V8656,Betsson Group,22,9,7,5,0,0,1,0,0,0,0
KAM,LR9R7XRX,Davinci Technologies LATAM,6,6,0,0,0,0,0,0,0,0,0
Senior Backend Engineer (Nest Js),LRW4X3W6,Rio,4,1,1,2,0,0,0,0,0,0,0
Bookkeeper,LRX5537X,EB5AN,18,7,7,3,0,0,0,0,0,0,1
Graphic Designer,LRX7YY8R,Sezzle,33,13,1,11,5,2,0,0,0,1,0
Data Scientist + RPA (W2),LRXXW39R,Davinci Technologies LATAM,3,0,2,0,0,0,0,0,0,0,1
Account Growth Manager,QV3365R8,Remoti,1,1,0,0,0,0,0,0,0,0,0
Sr Fraud Specialist,QV7586V8,Plurall,2,1,1,0,0,0,0,0,0,0,0
Product Manager,QV796WXR,Symbolic Capital,1,0,0,1,0,0,0,0,0,0,0
Senior Product Marketing Manager,QV7RWXX8,Symbolic Capital,1,1,0,0,0,0,0,0,0,0,0
