,Passed,Numero de Paginas,Cantidad de Palabras,Densidad Informacion (%),Fechas Detectadas (Count),Tamaño cuerpo probable,Variedad de fuentes,Variedad de tamaños,Uso de negritas (estimado %),Uso de cursivas (estimado %),Porcentaje Lenguaje Técnico,Porcentaje Lenguaje Genérico,LinkedIn,GitHub,Website/Otro,Cantidad de imágenes,Tiene Elementos Graficos,Lineas_education,Lineas_work_experience,Lineas_skills,Lineas_certifications,Lineas_achievements,Lineas_professional_profile,Lineas_languages,Lineas_projects,Lineas_publications,Lineas_training_courses,Lineas_volunteer_work,Seccion_education,Seccion_work_experience,Seccion_skills,Seccion_certifications,Seccion_achievements,Seccion_professional_profile,Seccion_languages,Seccion_projects,Seccion_publications,Seccion_training_courses,Seccion_volunteer_work,texto_extraido_len,Tamaño de fuente más usado,Promedio tamaño fuente,Formato Texto (Lineas)_Mixto,Formato Texto (Lineas)_Párrafos,Formato Texto (Lineas)_Viñetas,Orden Temporal_Orden Temporal Detectado,Orden Temporal_Pocas Fechas,Formato Fecha Más Común_DD/MM/YYYY,Formato Fecha Más Común_MM-YYYY,Formato Fecha Más Común_MM/YYYY,Formato Fecha Más Común_Mes YYYY (ES Comp),Formato Fecha Más Común_Mon YYYY (EN),Formato Fecha Más Común_Month YYYY (EN),Formato Fecha Más Común_Rango YYYY-YYYY,Formato Fecha Más Común_SpaCy DATE (Sin clasificar),Formato Fecha Más Común_YYYY,Formato Fecha Más Común_YYYY (SpaCy),Fuente principal_ArialMT,Fuente principal_Calibri,Fuente principal_Lato-Regular,Fuente principal_OpenSans-Regular,Fuente principal_Otra,Fuente principal_Roboto-Regular,Fuente principal_Tahoma,Legibilidad general_Buena,Legibilidad general_Potencialmente Deficiente,Consistencia tamaños fuente_Consistente,Consistencia tamaños fuente_Inconsistente,Consistencia márgenes (aprox)_Consistente,Consistencia márgenes (aprox)_Inconsistente,Uso de colores (texto)_No,Uso de colores (texto)_Sí,Uso de colores (dibujos)_No,Uso de colores (dibujos)_Sí,Deteccion Foto Perfil_No se detectaron imágenes candidatas,Deteccion Foto Perfil_Posible Foto Detectada,secciones_completas
258,1,3,1133,8.35,0,9,3,5,13.2,100.0,1.97,98.03,1,0,1,0,1,9,80,0,0,0,0,0,0,11,0,0,1,1,1,1,0,1,1,1,1,1,1,8373,9,13.4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,9
259,1,1,318,6.71,2,9,3,5,10.4,100.0,10.51,89.49,0,0,0,1,1,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2244,9,21.4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,2
260,1,1,263,5.83,1,8,5,3,26.5,50.0,15.97,84.03,0,0,0,0,0,2,18,8,0,0,0,6,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1885,8,14.666666666666666,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,5
261,1,3,1014,7.58,5,9,7,10,16.3,0.1,2.23,97.77,0,0,1,8,0,0,19,6,1,0,4,11,7,0,2,1,1,1,1,1,1,1,1,1,1,1,1,7348,9,9.8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,10
262,1,2,676,6.86,0,12,6,4,31.4,55.6,4.33,95.67,0,0,0,0,0,0,17,14,0,0,0,0,0,0,3,0,1,1,1,1,0,1,1,1,1,1,0,4583,12,16.25,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,8
263,1,6,1372,4.37,0,11,8,6,32.7,36.8,6.72,93.28,0,0,1,8,1,6,5,0,6,1,0,3,3,6,6,0,1,1,1,1,1,1,1,1,1,1,0,8464,11,13.166666666666666,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,9
264,1,7,645,2.28,2,12,4,7,14.2,0.0,4.81,95.19,1,1,1,16,1,7,5,17,0,12,5,4,14,45,5,0,1,1,1,1,1,1,1,1,1,1,0,5333,12,14.571428571428571,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,9
265,1,1,55,8.17,0,9,5,5,28.4,90.8,16.96,83.04,1,0,0,0,0,1,3,0,0,0,8,0,1,14,0,0,1,1,1,1,0,1,1,1,1,1,0,2732,9,11.4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,8
266,1,2,673,7.61,1,9,5,12,31.3,10.7,6.77,93.23,0,0,1,2,0,5,5,0,9,0,0,2,6,20,1,3,1,1,1,1,0,1,1,1,1,1,1,5092,9,8.583333333333334,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,9
267,1,2,1291,13.24,1,9,4,9,4.9,100.0,5.25,94.75,1,0,1,0,1,4,0,1,0,0,21,6,20,5,3,9,1,1,1,1,0,1,1,1,1,1,1,8847,9,11.222222222222221,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,9
268,0,6,1017,4.97,1,11,8,5,12.5,73.0,11.75,88.25,0,0,0,3,1,2,1,13,11,0,1,1,28,2,17,3,1,1,1,1,0,1,1,1,1,1,1,9638,11,15.8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,9
269,0,1,320,6.0,1,9,4,4,31.2,100.0,5.11,94.89,1,0,1,1,0,1,0,0,0,0,0,2,4,3,3,9,1,1,0,1,0,1,1,1,1,1,1,2007,9,16.75,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,8
270,0,3,592,5.74,0,10,3,8,29.5,0.0,4.05,95.95,0,0,0,19,1,3,3,12,6,0,0,0,11,1,0,0,1,1,1,1,0,1,0,1,1,1,0,4460,10,12.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,7
271,0,6,751,3.95,1,11,9,3,35.2,88.3,3.66,96.34,0,0,0,5,1,5,35,0,39,0,0,12,10,14,11,0,1,1,0,1,0,1,1,1,1,1,0,7663,11,11.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,7
272,0,1,425,8.84,4,9,2,6,33.8,100.0,8.71,91.29,0,0,0,1,1,17,27,0,0,0,0,2,0,15,0,2,1,1,0,1,0,1,1,0,1,0,1,2955,9,13.5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,6
273,0,1,256,6.03,2,9,7,5,12.9,86.2,3.91,96.09,0,0,0,2,1,0,1,12,0,0,3,4,2,9,2,0,0,1,1,0,1,1,1,1,1,1,0,1949,9,14.6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,7
274,0,1,404,8.49,0,9,2,5,37.7,100.0,13.25,86.75,1,0,0,0,1,19,14,41,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,2832,9,14.8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,5
